Country,Viewer Age Group,Viewer Gender,Viewer Percent
Singapore,25-34,f,100.0
Vietnam,13-17,f,29.8
Vietnam,35-44,m,20.3
Thailand,55-64,m,19.5
Thailand,35-44,f,18.5
Thailand,13-17,m,17.7
Vietnam,18-24,m,16.1
Vietnam,25-34,m,15.0
Vietnam,13-17,m,10.5
Vietnam,18-24,f,8.3
Thailand,25-34,m,7.5
Thailand,25-34,f,6.8
Thailand,45-54,m,6.5
Thailand,35-44,m,6.3
Thailand,18-24,f,5.0
Thailand,45-54,f,4.8
Thailand,18-24,m,3.2
Thailand,65-,m,2.2
Thailand,13-17,f,1.9
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,45-54,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,25-34,m,0.0
Malaysia,25-34,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,65-,m,0.0
Malaysia,35-44,m,0.0
Malaysia,45-54,m,0.0
Malaysia,18-24,m,0.0
Malaysia,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
Cambodia,55-64,f,0.0
Cambodia,65-,f,0.0
Cambodia,25-34,m,0.0
Cambodia,25-34,f,0.0
Cambodia,55-64,m,0.0
Cambodia,45-54,f,0.0
Cambodia,35-44,f,0.0
Cambodia,18-24,f,0.0
Cambodia,65-,m,0.0
Cambodia,35-44,m,0.0
Cambodia,45-54,m,0.0
Cambodia,18-24,m,0.0
Cambodia,13-17,m,0.0
_unknown_,55-64,f,0.0
_unknown_,65-,f,0.0
_unknown_,25-34,m,0.0
_unknown_,25-34,f,0.0
_unknown_,55-64,m,0.0
_unknown_,45-54,f,0.0
_unknown_,35-44,f,0.0
_unknown_,18-24,f,0.0
_unknown_,65-,m,0.0
_unknown_,35-44,m,0.0
_unknown_,45-54,m,0.0
_unknown_,18-24,m,0.0
_unknown_,13-17,m,0.0
Hungary,55-64,f,0.0
Hungary,65-,f,0.0
Hungary,25-34,m,0.0
Hungary,25-34,f,0.0
Hungary,55-64,m,0.0
Hungary,45-54,f,0.0
Hungary,35-44,f,0.0
Hungary,18-24,f,0.0
Hungary,65-,m,0.0
Hungary,35-44,m,0.0
Hungary,45-54,m,0.0
Hungary,18-24,m,0.0
Hungary,13-17,m,0.0
